Match type,Repository,Repository external URL,File path,File URL,Path matches [path [start end]],Chunk matches [line [start end]]
content,github.com/veraPDF/veraPDF-library,https://sourcegraph.com/github.com/veraPDF/veraPDF-library,xmp-core/src/main/java/org/verapdf/xmp/impl/ParseRDF.java,https://sourcegraph.com/github.com/veraPDF/veraPDF-library/-/blob/xmp-core/src/main/java/org/verapdf/xmp/impl/ParseRDF.java,"[xmp-core/src/main/java/org/verapdf/xmp/impl/ParseRDF.java, [[9, 22]]]","[1112, [[0, 18]]]; [1115, [[0, 9]]]; [1152, [[0, 18]]]"
content,github.com/spring-projects/spring-shell,https://sourcegraph.com/github.com/spring-projects/spring-shell,spring-shell-test/src/main/java/org/springframework/shell/test/jediterm/terminal/model/CharBuffer.java,https://sourcegraph.com/github.com/spring-projects/spring-shell/-/blob/spring-shell-test/src/main/java/org/springframework/shell/test/jediterm/terminal/model/CharBuffer.java,"[spring-shell-test/src/main/java/org/springframework/shell/test/jediterm/terminal/model/CharBuffer.java, [[18, 31]]]","[56, [[0, 9]]]"
content,github.com/sirixdb/sirix,https://sourcegraph.com/github.com/sirixdb/sirix,bundles/sirix-gui/src/main/java/org/sirix/gui/Menu.java,https://sourcegraph.com/github.com/sirixdb/sirix/-/blob/bundles/sirix-gui/src/main/java/org/sirix/gui/Menu.java,"[bundles/sirix-gui/src/main/java/org/sirix/gui/Menu.java, [[18, 31]]]","[115, [[0, 18] [0, 17] [0, 21]]]"
content,github.com/consulo/consulo-unity3d,https://sourcegraph.com/github.com/consulo/consulo-unity3d,plugin/src/main/java/consulo/unity3d/jsonApi/UnitySetDefinesHandler.java,https://sourcegraph.com/github.com/consulo/consulo-unity3d/-/blob/plugin/src/main/java/consulo/unity3d/jsonApi/UnitySetDefinesHandler.java,"[plugin/src/main/java/consulo/unity3d/jsonApi/UnitySetDefinesHandler.java, [[7, 20]]]","[113, [[0, 18]]]"
content,github.com/javamelody/javamelody,https://sourcegraph.com/github.com/javamelody/javamelody,javamelody-core/src/main/java/net/bull/javamelody/Parameter.java,https://sourcegraph.com/github.com/javamelody/javamelody/-/blob/javamelody-core/src/main/java/net/bull/javamelody/Parameter.java,"[javamelody-core/src/main/java/net/bull/javamelody/Parameter.java, [[16, 29]]]","[448, [[0, 14]]]"
content,github.com/pig-mesh/pig,https://sourcegraph.com/github.com/pig-mesh/pig,pig-auth/src/main/java/com/pig4cloud/pig/auth/support/sms/OAuth2ResourceOwnerSmsAuthenticationProvider.java,https://sourcegraph.com/github.com/pig-mesh/pig/-/blob/pig-auth/src/main/java/com/pig4cloud/pig/auth/support/sms/OAuth2ResourceOwnerSmsAuthenticationProvider.java,"[pig-auth/src/main/java/com/pig4cloud/pig/auth/support/sms/OAuth2ResourceOwnerSmsAuthenticationProvider.java, [[9, 22]]]","[51, [[0, 25]]]"
content,github.com/jenetics/jenetics,https://sourcegraph.com/github.com/jenetics/jenetics,jenetics/src/main/java/io/jenetics/Mutator.java,https://sourcegraph.com/github.com/jenetics/jenetics/-/blob/jenetics/src/main/java/io/jenetics/Mutator.java,"[jenetics/src/main/java/io/jenetics/Mutator.java, [[9, 22]]]","[113, [[0, 19]]]"
content,github.com/FabricMC/tiny-remapper,https://sourcegraph.com/github.com/FabricMC/tiny-remapper,src/main/java/net/fabricmc/tinyremapper/AsmRemapper.java,https://sourcegraph.com/github.com/FabricMC/tiny-remapper/-/blob/src/main/java/net/fabricmc/tinyremapper/AsmRemapper.java,"[src/main/java/net/fabricmc/tinyremapper/AsmRemapper.java, [[0, 13]]]","[60, [[0, 9]]]; [90, [[0, 9]]]"
content,github.com/grishka/Smithereen,https://sourcegraph.com/github.com/grishka/Smithereen,src/main/java/smithereen/controllers/CommentsController.java,https://sourcegraph.com/github.com/grishka/Smithereen/-/blob/src/main/java/smithereen/controllers/CommentsController.java,"[src/main/java/smithereen/controllers/CommentsController.java, [[0, 13]]]","[66, [[0, 15]]]"
content,github.com/terrier-org/terrier-core,https://sourcegraph.com/github.com/terrier-org/terrier-core,modules/core/src/main/java/org/terrier/matching/daat/Full.java,https://sourcegraph.com/github.com/terrier-org/terrier-core/-/blob/modules/core/src/main/java/org/terrier/matching/daat/Full.java,"[modules/core/src/main/java/org/terrier/matching/daat/Full.java, [[13, 26]]]","[198, [[0, 21]]]"
